Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,U-FT8,432.174000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
2,U-MT63,432.200000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
3,,433.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
4,,433.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
5,,433.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
6,ISS UHF,437.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,0.01,,1.0W,,,,,
7,ISS-FM,437.800000,-,291.810000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,0.01,,1.0W,,,,,
8,U-ZP,438.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
9,,438.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
10,NNLY,439.600000,-,8.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,0.10,,5.0W,,,,,
11,575RPT,439.575000,-,8.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,0.10,,5.0W,,,,,
12,300RPT,439.300000,-,8.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,0.10,,5.0W,,,,,
13,700RPT,439.700000,-,8.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
14,QZSQ,439.225000,-,8.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,0.10,,5.0W,,,,,
15,V-MT63,144.140000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
16,V-PSK31,144.144000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
17,V-FT8,144.174000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
18,V-APRS,144.640000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
19,V-ZP,145.100000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
20,V-SSTV1,145.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,0.10,,5.0W,,,,,
21,V-SSTV2,145.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,0.10,,5.0W,,,,,
22,,145.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
23,V-APRS,144.640000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
24,ISS-SSTV,145.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,0.01,,1.0W,,,,,
25,ISS-APRS,145.825000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,0.01,,1.0W,,,,,
26,ISS Russi,143.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,0.01,,1.0W,,,,,
